code,YT_name,spot_name,Album,year_released,standard_name,SP_listens_June102026,YT_views_june102026
BB_104,BAD BUNNY - PERO YA NO | YHLQMDLG (Video Oficial),Pero Ya No,,,,"328,305,982","174,453,530"
BB_105,Bad Bunny - Un Coco (360° Visualizer) | Un Verano Sin Ti,Un Coco,Un Verano Sin Ti,6 May 2022,Un Coco,"828,466,501","170,064,816"
BB_106,"Bad Bunny (ft. The Marias) - Otro Atardecer (360° Visualizer) | Un Verano 
Sin Ti",Otro Atardecer,Un Verano Sin Ti,6 May 2022,Otro Atardecer,"757,478,866","168,455,838"
BB_107,"* Wisin - Escápate Conmigo ft. Ozuna, Bad Bunny, De La Ghetto, Arcángel, 
Noriel, Almighty","* Escápate Conmigo (feat. Ozuna, Bad Bunny, De La Ghetto, Arcángel, Noriel 
& Almighty) - Remix",,,,"254,369,521","161,507,876"
BB_108,"* Arcángel, Bad Bunny - Original (Video Oficial)",* Original,,,,"159,420,148","160,996,190"
BB_109,Bad Bunny (ft. Rauw Alejandro) - Party (360° Visualizer) | Un Verano Sin Ti,Party,Un Verano Sin Ti,5 August 2022,Party,"942,111,591","159,955,995"
BB_110,* Bryant Myers & Bad Bunny - Triste (Official Audio),* Triste,,,,"396,147,416","159,930,078"
BB_111,BAD BUNNY - 25/8 | YHLQMDLG [Visualizer],46259,,,,"351,170,601","158,520,374"
BB_112,BAD BUNNY - HOY COBRÉ (Video Oficial),HOY COBRÉ,,,,"215,659,313","156,216,684"
BB_113,Bad Bunny - Un Ratito (360° Visualizer) | Un Verano Sin Ti,Un Ratito,Un Verano Sin Ti,6 May 2022,Un Ratito,"681,998,406","153,087,470"
BB_114,"BAD BUNNY x YANDEL - CANCIÓN CON YANDEL | LAS QUE NO IBAN A SALIR (Audio 
Oficial)",* CANCIÓN CON YANDEL,,,,"418,917,791","147,429,643"
BB_115,Bad Bunny - Después de la Playa (360° Visualizer) | Un Verano Sin Ti,Después de la Playa,Un Verano Sin Ti,15 June 2022,Después de la Playa,"699,777,689","147,154,350"
BB_116,"* Farruko, Bad Bunny - La Cartera (Official Video)",* La Cartera,,,,"198,476,043","145,938,132"
BB_117,Bad Bunny (ft. Jhay Cortez) - Tarot (360° Visualizer) | Un Verano Sin Ti,Tarot,Un Verano Sin Ti,6 May 2022,Tarot,"1,011,937,460","144,222,998"
BB_118,BAD BUNNY - YO VISTO ASÍ (Video Oficial),YO VISTO ASÍ,,,,"233,188,971","140,064,400"
BB_119,"* Farruko, Nicki Minaj, Bad Bunny - Krippy Kush (Remix) ft. Travis Scott, 
Rvssian",* Krippy Kush (feat. Travis Scott & Rvssian) - Travis Scott Remix,,,,"27,289,759","137,216,583"
BB_120,"* Arcangel, Bad Bunny - La Jumpa (Visualizer) | SR. SANTOS",,,,,look,"134,561,385"
BB_121,BAD BUNNY x MORA - UNA VEZ | YHLQMDLG [Visualizer],,,,,look,"133,682,772"
BB_122,"BAD BUNNY ft. FEID - PERRO NEGRO (Visualizer) | nadie sabe lo que va a 
pasar mañana",PERRO NEGRO,Nadie Sabe Lo Que Va a Pasar Mañana,13 October 2023,Perro Negro,"1,304,880,007","132,801,156"
BB_123,BAD BUNNY - SI ESTUVIÉSEMOS JUNTOS | X100PRE [Visualizer],,,,,look,"132,766,237"
BB_124,BAD BUNNY x ÑENGO FLOW - QUE MALO | YHLQMDLG [Vizualizer],Que Malo,,,,"407,755,531","130,655,515"
BB_125,* Farruko Ft. Bad Bunny & Lary Over - Diabla (Remix) [Lyric Video],* Diabla (Official Remix),,,,"256,490,998","127,012,607"
BB_126,BAD BUNNY x DUKI x PABLO CHILL-E - HABLAMOS MAÑANA | YHLQMDLG (VHS Version),Hablamos Mañana,,,,"295,534,530","126,611,153"
BB_127,"Bad Bunny (ft. Tony Dize) - La Corriente (360° Visualizer) | Un Verano Sin 
Ti",La Corriente,Un Verano Sin Ti,6 May 2022,La Corriente,"761,488,009","124,580,726"
BB_128,"* Pacho, Daddy Yankee & Bad Bunny - Como Soy (Video Oficial)",* Como Soy,,,,"46,199,181","123,200,577"
BB_129,Bad Bunny - Tití Me Preguntó (360° Visualizer) | Un Verano Sin Ti,,,,,look,"121,424,757"
BB_130,Bad Bunny - Me Fui de Vacaciones (360° Visualizer) | Un Verano Sin Ti,Me Fui de Vacaciones,Un Verano Sin Ti,6 May 2022,Me fui de vacaciones,"516,620,424","120,840,225"
BB_131,BAD BUNNY x ANUEL AA - ESTÁ CABRÓN SER YO | YHLQMDLG [Visualizer],Está Cabrón Ser Yo,,,,"278,578,625","119,880,636"
BB_132,BAD BUNNY - YO PERREO SOLA | YHLQMDLG [Visualizer],,,,,look,"119,747,726"
BB_133,BAD BUNNY - SOY PEOR (Audio Oficial),,,,,look,"117,332,025"
BB_134,Bad Bunny - Dos Mil 16 (360° Visualizer) | Un Verano Sin Ti,Dos Mil 16,Un Verano Sin Ti,6 May 2022,Dos Mil 16,"637,489,448","116,118,807"
BB_135,Bad Bunny X Farruko - Blockia 📵 [Video Oficial],Blockia,,,,"79,262,618","115,618,923"
BB_136,* Jennifer Lopez & Bad Bunny - Te Guste (Official Music Video),* Te Guste,,,,"64,997,941","115,421,303"
BB_137,Bad Bunny - UN PREVIEW (Video Oficial),,,,,look,"114,811,947"
BB_138,Me Llueven - Bad Bunny x Poeta Callejero x Mark B (Video Oficial),UN PREVIEW,,,,"375,177,215","112,833,926"
BB_139,"* Cardi B, Bad Bunny & J Balvin - I Like It [Official Audio]",,,,,look,"112,142,836"
BB_140,BAD BUNNY - TE DESEO LO MEJOR | EL ÚLTIMO TOUR DEL MUNDO [Visualizer],,,,,look,"111,216,689"
BB_141,BAD BUNNY - DtMF (Visualizer) | DeBÍ TiRAR MáS FOToS,DtMF,Debí Tirar Más Fotos,23 January 2025,DtMF,"1,920,646,964","108,565,475"
BB_142,BAD BUNNY - De Museo (Audio Oficial),De Museo,,,,"159,248,432","108,162,426"
BB_143,"BAD BUNNY - NO ME QUIERO CASAR (Visualizer) | nadie sabe lo que va a pasar 
mañana",ANTES QUE SE ACABE,,,,"314,915,268","107,504,443"
BB_144,BAD BUNNY - ANTES QUE SE ACABE | EL ÚLTIMO TOUR DEL MUNDO [Visualizer],* X ÚLTIMA VEZ,single,6 April 2022,X Ultima Vez,"470,811,093","105,550,733"
BB_145,* Daddy Yankee x Bad Bunny - X Última Vez (Official Video),* Infeliz,,,,"388,867,399","105,278,064"
BB_146,"* Arcángel, Bad Bunny - Infeliz | Historias de un Capricornio (Audio 
Oficial)",,,,,look,"104,982,246"
BB_147,"* Becky G, Bad Bunny - Mayores (2017 Latin American Music Awards)",,,,,look,"104,303,643"
BB_148,Bad Bunny - Yo No Soy Celoso (360° Visualizer) | Un Verano Sin Ti,,,,,look,"103,330,457"
BB_149,"* J Alvarez - Haters (Remix) [Official Music Video] ft. Bad Bunny, Almighty",Yo No Soy Celoso,Un Verano Sin Ti,6 May 2022,Yo No Soy Celoso,"533,404,741","102,258,185"
BB_150,BAD BUNNY - LA DROGA | EL ÚLTIMO TOUR DEL MUNDO [Visualizer],LA DROGA,,,,"270,000,914","101,985,313"
BB_151,BAD BUNNY - LA ZONA | YHLQMDLG [Visualizer],La Zona,,,,"454,297,555","101,964,745"
BB_152,BAD BUNNY - VOY A LLeVARTE PA PR (Visualizer) | DeBÍ TiRAR MáS FOToS,VOY A LLeVARTE PA PR,Debí Tirar Más Fotos,5 January 2025,Voy a Llevarte Pa' PR,"987,090,670","100,315,483"
BB_153,BAD BUNNY - EoO (Visualizer) | DeBÍ TiRAR MáS FOToS,EoO,Debí Tirar Más Fotos,22 April 2025,EoO,"1,139,592,764","96,779,580"
BB_154,BAD BUNNY x ABRA - SORRY PAPI | EL ÚLTIMO TOUR DEL MUNDO [Visualizer],SORRY PAPI,,,,"268,492,752","96,718,524"
BB_155,BAD BUNNY - BOOKER T | EL ÚLTIMO TOUR DEL MUNDO [Visualizer],,,,,look,"96,625,174"
BB_156,BAD BUNNY - SOLÍA | YHLQMDLG [Visualizer],Soliá,,,,"429,306,995","96,038,874"
BB_157,Bad Bunny - Enséñame a Bailar (360° Visualizer) | Un Verano Sin Ti,Enséñame a Bailar,Un Verano Sin Ti,6 May 2022,Enséñame a Bailar,"574,640,612","94,803,807"
BB_158,Bad Bunny - Aguacero (360° Visualizer) | Un Verano Sin Ti,Aguacero,Un Verano Sin Ti,6 May 2022,Aguacero,"522,703,837","93,535,279"
BB_159,"BAD BUNNY ft. Dei V, Omar Courtz - VeLDÁ (Visualizer) | DeBÍ TiRAR MáS FOToS",VeLDÁ,Debí Tirar Más Fotos,5 January 2025,VeLDÁ,"899,582,314","91,429,203"
BB_160,"* Pepe Quintana "" Te Lo Meto Yo "" Ft. Bad Bunny / Arcangel / Farruko / Lary 
Over / Tempo",* Te Lo Meto Yo,,,,"68,903,183","90,546,281"
BB_161,BAD BUNNY - NUEVAYoL (Visualizer) | DeBÍ TiRAR MáS FOToS,,,,,look,"86,220,935"
BB_162,BAD BUNNY - BYE ME FUI | LAS QUE NO IBAN A SALIR (Audio Oficial),BYE ME FUI,,,,"285,842,902","83,562,247"
BB_163,J BALVIN x BAD BUNNY - YO LE LLEGO | OASIS (Video Oficial),* YO LE LLEGO,,,,"162,202,592","82,653,652"
BB_164,BAD BUNNY - COMO ANTES | X100PRE [Visualizer],Como Antes,,,,"237,344,092","77,442,987"
BB_165,"* Wisin - Escápate Conmigo (Remix) ft. Ozuna, Bad Bunny, De La Ghetto, 
Arcángel",,,,,look,"75,209,620"
BB_166,BAD BUNNY - KLOuFRENS (Visualizer) | DeBÍ TiRAR MáS FOToS,KLOuFRENS,Debí Tirar Más Fotos,5 January 2025,KLOuFRENS,"661,198,349","73,225,557"
BB_167,BAD BUNNY - RLNDT | X100PRE [Visualizer],RLNDT,,,,"180,192,847","70,901,871"
BB_168,Bad Bunny - Un Verano Sin Ti (360° Visualizer) | Un Verano Sin Ti,Un Verano Sin Ti,Un Verano Sin Ti,6 May 2022,Un Verano Sin Ti,"559,738,985","69,900,735"
BB_169,"BAD BUNNY ft. LUAR LA L - TELEFONO NUEVO (Visualizer) | nadie sabe lo que 
va a pasar mañana",,,,,look,"69,281,086"
BB_170,BAD BUNNY - NUEVAYoL (Video Oficial) | DeBÍ TiRAR MáS FOToS,,,,,look,"68,942,978"
BB_171,"BAD BUNNY x DUKI x PABLO CHILL-E - HABLAMOS MAÑANA | YHLQMDLG (Video 
Oficial)",NUEVAYoL,Debí Tirar Más Fotos,4 July 2025,NUEVAYoL,"1,311,254,242","68,363,535"
BB_172,BAD BUNNY - NADIE SABE (Visualizer) | nadie sabe lo que va a pasar mañana,NADIE SABE,,,,"182,458,060","66,396,644"
BB_173,Bad Bunny - Agosto (360° Visualizer) | Un Verano Sin Ti,200 Mph,,,,"229,142,329","64,636,903"
BB_174,BAD BUNNY FT. DIPLO - 200 MPH | X100PRE (Video Oficial),Agosto,,,,"474,684,869","61,764,746"
BB_175,"* Alex Sensation, Bad Bunny - Fantasía",* Fantasía,,,,"47,812,440","61,044,894"
BB_176,BAD BUNNY - ¿QUIÉN TÚ ERES? | X100PRE (Video Oficial),¿Quien Tu Eres?,,,,"136,602,970","60,617,927"
BB_177,BAD BUNNY x EL ALFA - LA ROMANA | X100PRE [Visualizer],,,,,look,"59,273,172"
BB_178,"BAD BUNNY, LUAR LA L - 100 MILLONES [Visualizer]",100 MILLONES,,,,"115,056,526","58,852,518"
BB_179,"BAD BUNNY ft. YOVNGCHIMI - MERCEDES CAROTA (Visualizer) | nadie sabe lo que 
va a pasar mañana",MERCEDES CAROTA,,,,"202,661,636","58,747,751"
BB_180,BAD BUNNY - 🖤 | YHLQMDLG [Visualizer],<3,,,,"260,484,418","58,091,592"
BB_181,* Bryant Myers & Bad Bunny - Triste (Video Oficial),,,,,look,"58,075,855"
BB_182,"* Karol G, Bad Bunny, Quavo - Ahora Me Llama (Remix - Official Audio)",* Ahora Me Llama - Remix,,,,"125,520,498","56,973,391"
BB_183,BAD BUNNY x YAVIAH - BICHIYAL | YHLQMDLG [Visualizer],,,,,look,"56,456,717"
BB_184,"BAD BUNNY ft. YOUNG MIKO - FINA (Visualizer) | nadie sabe lo que va a pasar 
mañana",FINA,,,,"390,489,033","56,281,015"
BB_185,BAD BUNNY - EL MUNDO ES MÍO | EL ÚLTIMO TOUR DEL MUNDO [Visualizer],EL MUNDO ES MÍO,,,,"130,302,517","55,454,690"
BB_186,Bad Bunny - Neverita (360° Visualizer) | Un Verano Sin Ti,,,,,look,"54,786,215"
BB_187,BAD BUNNY x MYKE TOWERS - ESTAMOS ARRIBA (Video Oficial),Estamos Arriba,,,,"120,040,961","52,969,179"
BB_188,BAD BUNNY - KETU TeCRÉ (Video Oficial) | DeBÍ TiRAR MáS FOToS,KETU TeCRÉ,Debí Tirar Más Fotos,5 January 2025,CAFé CON RON,"312,147,519","52,674,353"
BB_189,"* Farruko, Bad Bunny - La Cartera (Official Animated Video)",,,,,look,"52,356,611"
BB_190,"BAD BUNNY ft. BRYANT MYERS - SEDA (Visualizer) | nadie sabe lo que va a 
pasar mañana",SEDA,,,,"230,902,053","51,460,854"
BB_191,"BAD BUNNY x NICKY JAM - BAD CON NICKY | LAS QUE NO IBAN A SALIR (Audio 
Oficial)",BAD CON NICKY,,,,"207,334,233","50,000,035"
BB_192,"* Me Llamas - Bad Bunny, Arcangel, De La Ghetto, El Nene La Amenaza 
""Amenazzy"", Mark B",,,,,look,"49,133,966"
BB_193,"* Cardi B, Bad Bunny & J Balvin - I Like It [2018 American Music Awards]",,,,,look,"48,985,716"
BB_194,BAD BUNNY - BABY NUEVA (Visualizer) | nadie sabe lo que va a pasar mañana,BABY NUEVA,,,,"223,544,729","48,090,931"
BB_195,BAD BUNNY - MALDITA POBREZA | EL ÚLTIMO TOUR DEL MUNDO [Visualizer],MALDITA POBREZA,,,,"140,338,354","47,717,682"
