code,YT_name,spot_name,Album,year_released,standard_name,SP_listens_June102026,YT_views_june102026
BB_235,BAD BUNNY - LA MuDANZA (Video Oficial) | DeBÍ TiRAR MáS FOToS,LA MuDANZA,Debí Tirar Más Fotos,5 January 2025,LA MuDANZA,"306,428,541","24,796,523"
BB_236,BAD BUNNY - RONCA FREESTYLE | LAS QUE NO IBAN A SALIR (Audio Oficial),RONCA FREESTYLE,,,,"94,809,371","23,551,126"
BB_237,"BAD BUNNY ft. Pleneros de la Cresta - CAFé CON RON (Visualizer) | DeBÍ 
TiRAR MáS FOToS",CAFé CON RON,Debí Tirar Más Fotos,5 January 2025,CAFé CON RON,"377,357,366","21,462,007"
BB_238,BAD BUNNY - TURiSTA (Visualizer) | DeBÍ TiRAR MáS FOToS,,,,,look,"21,021,281"
BB_239,BAD BUNNY - BOKeTE (Visualizer) | DeBÍ TiRAR MáS FOToS,,,,,look,"20,698,149"
BB_240,BAD BUNNY - CARO | X100PRE [Visualizer],,,,,look,"20,462,113"
BB_241,BAD BUNNY - LA MuDANZA (Visualizer) | DeBÍ TiRAR MáS FOToS,,,,,look,"19,711,494"
BB_242,BAD BUNNY x MYKE TOWERS - PUESTO PA' GUERRIAL | YHLQMDLG [Visualizer],Puesto Pa' Guerrial,,,,"121,040,516","19,250,288"
BB_243,* 10. Ñengo Flow - Hoy ft. Bad Bunny [Official Audio],,,,,look,"18,788,820"
BB_244,Quien Tu Eres? - Bad Bunny | X 100PRE,,,,,look,"18,650,039"
BB_245,BAD BUNNY FT. DIPLO - 200 MPH | X100PRE [Visualizer],,,,,look,"18,238,908"
BB_246,BAD BUNNY - ALAMBRE PúA,ALAMBRE PúA,,,,"88,245,184","17,966,691"
BB_247,Bad Bunny - El Apagón - Aquí Vive Gente (Video Oficial) | Un Verano Sin Ti,,,,,look,"17,510,546"
BB_248,* PnB Rock x Bad Bunny - Soy Peor Remix [Official Audio],,,,,look,"16,335,543"
BB_249,BAD BUNNY - LO QUE LE PASÓ A HAWAii (Visualizer) | DeBÍ TiRAR MáS FOToS,LO QUE LE PASÓ A HAWAii,,,,"214,523,688","15,674,847"
BB_250,Ser Bichote - Bad Bunny | X 100PRE,,,,,look,"15,437,349"
BB_251,"BAD BUNNY x NESI x IVY QUEEN - YO PERREO SOLA REMIX | YHLQMDLG (Audio 
Oficial)",Yo Perreo Sola - Remix,,,,"58,546,767","15,065,186"
BB_252,BAD BUNNY x DUKI x PABLO CHILL E - HABLAMOS MAÑANA | YHLQMDLG [Visualizer],,,,,look,"14,762,633"
BB_253,BAD BUNNY - VOU 787 (Visualizer) | nadie sabe lo que va a pasar mañana,VOU 787,,,,"110,652,962","14,207,469"
BB_254,BAD BUNNY - Una Velita (Visualizer),Una Velita,,,,"52,434,872","14,105,540"
BB_255,BAD BUNNY – YouTube Artist Spotlight Stories,,,,,look,"12,433,590"
BB_256,BAD BUNNY - PERO YA NO | YHLQMDLG [Visualizer],,,,,look,"11,877,645"
BB_257,"BAD BUNNY FEAT GABRIELA - EN CASITA | LAS QUE NO IBAN A SALIR (Audio 
Oficial)",EN CASITA,,,,"60,622,003","11,876,842"
BB_258,BAD BUNNY - EL CLúB (Visualizer) | DeBÍ TiRAR MáS FOToS,,,,,look,"11,790,735"
BB_259,"TRIO VEGABAJEÑO - CANTARES DE NAVIDAD | EL ÚLTIMO TOUR DEL MUNDO 
[Visualizer]",,,,,look,"10,567,636"
BB_260,BAD BUNNY - BATICANO (Visualizer) | nadie sabe lo que va a pasar mañana,,,,,look,"7,451,645"
BB_261_1,BAD BUNNY - PIToRRO DE COCO (Visualizer) | DeBÍ TiRAR MáS FOToS,,,,,look,"5,819,249"
BB_261_2,BAD BUNNY - PIToRRO DE COCO (Visualizer) | DeBÍ TiRAR MáS FOToS,,,,,look,"4,288,015"
